sample_id	Bin ID	Mapped genome	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.195.fa	1030743	0.9995614021720428	1.0	3609229	3607646	3607646.0	0.75	1.0	4	3	3.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.321.fa	1048927	0.338541839088828	0.9995179914702538	14559710	4929071	4931448.0	0.08	0.8	50	4	5.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.110.fa	1048912	0.4659270490362801	0.9990842712637128	12040636	5610058	5615200.0	0.35714285714285715	0.8333333333333334	28	10	12.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.182.fa	1036563	0.1307247556899813	0.998898834905855	28339812	3704715	3708799.0	0.10084033613445378	0.8	119	12	15.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.319.fa	1220_BK	0.4371810647418545	0.9987260985347846	8487616	3710625	3715358.0	0.2571428571428571	0.6428571428571429	35	9	14.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.227.fa	1021_AG	0.5028819538363861	0.998607751237965	7793324	3919122	3924586.0	0.6	0.75	5	3	4.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.112.fa	1030872	0.8416534365800771	0.9985752867748705	5633624	4741559	4748324.0	0.8518518518518519	0.8518518518518519	27	23	27.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.132.fa	1285_BA	1.0	0.9985701524502957	4386495	4386495	4392776.0	1.0	0.6666666666666666	6	6	9.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.28.fa	1286_M	1.0	0.9984594063599735	3884714	3884714	3890708.0	1.0	0.5833333333333334	7	7	12.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.284.fa	1285_AY	0.9990217472723522	0.9983092351471194	4018389	4014458	4021257.0	0.9285714285714286	0.7647058823529411	14	13	17.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.127.fa	1286_AT	0.29748964047356685	0.9982360017316081	11913672	3544194	3550457.0	0.15625	0.7142857142857143	32	5	7.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.111.fa	1139_CM	1.0	0.9980161376025013	3405262	3405262	3412031.0	1.0	0.5	3	3	6.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.14.fa	1285_L	0.9685652443120726	0.9978690526337856	5701110	5521897	5533689.0	0.8214285714285714	0.6052631578947368	28	23	38.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.10.fa	1036647	0.9757064290891023	0.9976780508928641	4089724	3990370	3999657.0	0.9180327868852459	0.9032258064516129	61	56	62.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.221.fa	1030794	0.9896396208460501	0.9973955261195452	9491448	9393113	9417641.0	0.8064516129032258	0.6756756756756757	31	25	37.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.122.fa	1285_AB	0.1180506680541646	0.9973278601742763	37408344	4416080	4427912.0	0.056962025316455694	0.6923076923076923	158	9	13.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.73.fa	1286_AU	1.0	0.9971116602625956	4519961	4519961	4533054.0	1.0	0.5	11	11	22.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.338.fa	1220_BE	1.0	0.9970621592247868	4805367	4805367	4819526.0	1.0	0.3333333333333333	4	4	12.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.329.fa	1035984	0.9978790027028224	0.9969461156677575	2777467	2771576	2780066.0	0.975609756097561	0.9302325581395349	82	80	86.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.100.fa	1286_AE	0.8480844689621836	0.9968635621995855	5544285	4702022	4716816.0	0.7674418604651163	0.75	43	33	44.0
pool	CAMI_high_GoldStandardAssembly.fasta.metabat-bins-_--minContig_1500_--minSamples_5_--numThreads_16_--superspecific.261.fa	1048582	1.0	0.9965610595391247	5527112	5527112	5546185.0	1.0	0.9047619047619048	19	19	21.0
